chr	geneID	start	end
chr1	ENSG00000223972.5	1869	24403
chr1	ENSG00000227232.5	4410	39553
chr1	ENSG00000278267.1	7369	27436
chr1	ENSG00000243485.5	19571	41109
chr1	ENSG00000237613.2	24554	46081
chr1	ENSG00000268020.3	42473	63312
chr1	ENSG00000240361.1	52948	73887
chr1	ENSG00000186092.4	59091	80008
chr1	ENSG00000238009.6	79295	139223
chr1	ENSG00000233750.3	121025	144836
chr1	ENSG00000268903.1	125141	145895
chr1	ENSG00000269981.1	127682	147965
chr1	ENSG00000239906.1	129790	150339
chr1	ENSG00000241860.6	131474	183862
chr1	ENSG00000222623.1	147784	167887
chr1	ENSG00000241599.1	150446	171525
chr1	ENSG00000279928.2	172696	194174
chr1	ENSG00000279457.4	175217	205411
chr1	ENSG00000273874.1	177891	197958
chr1	ENSG00000228463.9	247864	307502
chr1	ENSG00000236679.2	337982	358366
chr1	ENSG00000236743.1	347383	369681
chr1	ENSG00000236601.2	348857	376018
chr1	ENSG00000237094.11	356053	511617
chr1	ENSG00000269732.1	429870	450232
chr1	ENSG00000278566.1	440740	461678
chr1	ENSG00000233653.3	477101	499906
chr1	ENSG00000250575.1	481225	503241
chr1	ENSG00000278757.1	506376	526479
chr1	ENSG00000230021.8	575989	837796
chr1	ENSG00000235146.2	577629	604768
chr1	ENSG00000225972.1	619062	639433
chr1	ENSG00000225630.1	619640	640683
chr1	ENSG00000237973.1	621074	642616
chr1	ENSG00000229344.1	622757	643438
chr1	ENSG00000240409.1	623535	643695
chr1	ENSG00000248527.1	623742	644375
chr1	ENSG00000198744.5	624377	644922
chr1	ENSG00000268663.1	664842	685265
chr1	ENSG00000273547.1	675716	696654
chr1	ENSG00000283574.1	710024	730206
chr1	ENSG00000229376.3	712092	734903
chr1	ENSG00000228327.3	715885	788626
chr1	ENSG00000223181.1	748233	768336
chr1	ENSG00000229905.1	750911	771989
chr1	ENSG00000237491.8	768770	820060
chr1	ENSG00000230092.7	790879	820170
chr1	ENSG00000177757.2	807371	829837
chr1	ENSG00000228794.8	815138	869446
chr1	ENSG00000225880.5	816206	837522
chr1	ENSG00000230368.2	858071	886754
chr1	ENSG00000234711.1	863292	884111
chr1	ENSG00000283040.1	865526	887234
chr1	ENSG00000272438.1	894834	925976
chr1	ENSG00000230699.2	901435	924802
chr1	ENSG00000241180.1	904949	924971
chr1	ENSG00000223764.2	906870	929692
chr1	ENSG00000187634.11	913928	954203
chr1	ENSG00000188976.10	934582	969309
chr1	ENSG00000187961.13	950587	975715
chr1	ENSG00000187583.10	956497	985108
chr1	ENSG00000187642.9	965204	992093
chr1	ENSG00000272512.1	985966	1008051
chr1	ENSG00000188290.10	988962	1010172
chr1	ENSG00000187608.8	991138	1024541
chr1	ENSG00000231702.2	998076	1018193
chr1	ENSG00000224969.1	1001997	1023193
chr1	ENSG00000188157.14	1010123	1066118
chr1	ENSG00000217801.9	1049734	1079355
chr1	ENSG00000273443.1	1052208	1073288
chr1	ENSG00000237330.2	1060966	1084307
chr1	ENSG00000131591.17	1071818	1126361
chr1	ENSG00000223823.1	1127017	1154056
chr1	ENSG00000207730.3	1157104	1177198
chr1	ENSG00000207607.3	1157863	1177952
chr1	ENSG00000198976.1	1159005	1179087
chr1	ENSG00000272141.1	1159357	1180343
chr1	ENSG00000205231.1	1163056	1189555
chr1	ENSG00000162571.13	1169189	1207935
chr1	ENSG00000186891.13	1193508	1216691
chr1	ENSG00000186827.10	1201326	1224132
chr1	ENSG00000078808.16	1206908	1242031
chr1	ENSG00000176022.4	1222265	1245041
chr1	ENSG00000184163.3	1232453	1256722
chr1	ENSG00000260179.1	1239777	1261334
chr1	ENSG00000160087.20	1243909	1283885
chr1	ENSG00000230415.1	1265223	1290420
chr1	ENSG00000162572.20	1270436	1302029
chr1	ENSG00000131584.18	1282376	1318018
chr1	ENSG00000278073.1	1286110	1306170
chr1	ENSG00000169972.11	1298567	1321584
chr1	ENSG00000127054.20	1301678	1334691
chr1	ENSG00000283712.1	1302502	1322566
chr1	ENSG00000240731.1	1307581	1328678
chr1	ENSG00000224051.6	1314756	1338897
chr1	ENSG00000169962.4	1321314	1345275
chr1	ENSG00000107404.19	1325307	1359350
chr1	ENSG00000284372.1	1329650	1349708
chr1	ENSG00000162576.16	1342689	1371777
chr1	ENSG00000175756.13	1363730	1385495
chr1	ENSG00000223663.2	1368666	1389032
chr1	ENSG00000221978.11	1376482	1409328
chr1	ENSG00000224870.6	1389522	1411907
chr1	ENSG00000242485.5	1392047	1417313
chr1	ENSG00000272455.1	1399096	1420618
chr1	ENSG00000235098.8	1408420	1431769
chr1	ENSG00000225905.1	1412469	1432691
chr1	ENSG00000205116.3	1416128	1437787
chr1	ENSG00000225285.1	1420539	1444573
chr1	ENSG00000179403.11	1424861	1452882
chr1	ENSG00000215915.9	1439689	1480158
chr1	ENSG00000160072.19	1461769	1506202
chr1	ENSG00000197785.13	1502151	1544687
chr1	ENSG00000205090.8	1525174	1550453
chr1	ENSG00000160075.11	1531673	1584869
chr1	ENSG00000215014.4	1564975	1587075
chr1	ENSG00000274481.1	1573510	1593909
chr1	ENSG00000228594.3	1588012	1610096
chr1	ENSG00000272106.1	1603758	1625795
chr1	ENSG00000197530.12	1605879	1640610
chr1	ENSG00000189409.13	1622095	1645226
chr1	ENSG00000248333.8	1625264	1669012
chr1	ENSG00000272004.1	1649325	1669452
chr1	ENSG00000189339.11	1649529	1702728
chr1	ENSG00000269737.2	1661990	1684397
chr1	ENSG00000215914.4	1689942	1711782
chr1	ENSG00000008128.22	1692730	1734324
chr1	ENSG00000227775.3	1714512	1747251
chr1	ENSG00000215790.6	1714838	1755992
chr1	ENSG00000008130.15	1741232	1790457
chr1	ENSG00000078369.17	1775285	1901117
chr1	ENSG00000231050.1	1881471	1902658
chr1	ENSG00000169885.9	1904827	1927294
chr1	ENSG00000178821.12	1907590	1929273
chr1	ENSG00000142609.17	1911951	2013837
chr1	ENSG00000233542.1	2003213	2025530
chr1	ENSG00000187730.8	2009298	2040758
chr1	ENSG00000226969.1	2039203	2060070
chr1	ENSG00000067606.16	2040470	2185313
chr1	ENSG00000271806.1	2131084	2155279
chr1	ENSG00000182873.5	2171794	2194389
chr1	ENSG00000162585.16	2174461	2222720
chr1	ENSG00000234396.3	2202523	2230738
chr1	ENSG00000157933.9	2218695	2320119
chr1	ENSG00000116151.13	2311253	2401707
chr1	ENSG00000272161.1	2316201	2336693
chr1	ENSG00000269896.2	2340414	2362820
chr1	ENSG00000272420.1	2353061	2373628
chr1	ENSG00000157916.19	2381775	2413963
chr1	ENSG00000157911.9	2395445	2423797
chr1	ENSG00000149527.17	2415980	2515526
chr1	ENSG00000224387.1	2482300	2503258
chr1	ENSG00000229393.1	2483437	2504479
chr1	ENSG00000157881.13	2498533	2536628
chr1	ENSG00000197921.5	2518745	2540245
chr1	ENSG00000272449.1	2536465	2557460
chr1	ENSG00000238164.6	2539920	2567031
chr1	ENSG00000157873.17	2546697	2575382
chr1	ENSG00000225931.3	2556410	2579888
chr1	ENSG00000228037.1	2571560	2594533
chr1	ENSG00000157870.14	2576491	2601469
chr1	ENSG00000142606.15	2581557	2642990
chr1	ENSG00000237058.1	2622568	2642675
chr1	ENSG00000215912.12	2625976	2811717
chr1	ENSG00000283259.1	2763603	2786473
chr1	ENSG00000233234.1	2801850	2822692
chr1	ENSG00000231630.1	2804432	2824998
chr1	ENSG00000169717.6	3011483	3032903
chr1	ENSG00000177133.10	3049615	3078437
chr1	ENSG00000142611.16	3059168	3448621
chr1	ENSG00000283572.1	3117975	3138035
chr1	ENSG00000226286.1	3122927	3143709
chr1	ENSG00000279839.1	3195988	3218664
chr1	ENSG00000272235.1	3296636	3320096
chr1	ENSG00000130762.14	3444426	3491113
chr1	ENSG00000272088.1	3477246	3497627
chr1	ENSG00000162591.15	3479920	3621495
chr1	ENSG00000207776.1	3550695	3570790
chr1	ENSG00000238260.1	3613190	3634743
chr1	ENSG00000158109.14	3615002	3640127
chr1	ENSG00000116213.15	3620767	3662761
chr1	ENSG00000078900.14	3642520	3745600
chr1	ENSG00000227589.1	3648938	3678772
chr1	ENSG00000235131.1	3702200	3724298
chr1	ENSG00000227372.11	3726202	3757336
chr1	ENSG00000162592.9	3742398	3781645
chr1	ENSG00000235169.7	3762788	3785982
chr1	ENSG00000130764.9	3768558	3806504
chr1	ENSG00000266075.2	3772815	3793111
chr1	ENSG00000272153.1	3775008	3795538
chr1	ENSG00000116198.12	3802081	3867214
chr1	ENSG00000169598.15	3847267	3895429
chr1	ENSG00000198912.10	3879125	3910285
chr1	ENSG00000236423.5	3890372	3927225
chr1	ENSG00000233304.6	3930565	3965262
chr1	ENSG00000226374.2	3934547	3958980
chr1	ENSG00000229280.1	4165528	4185899
chr1	ENSG00000235054.3	4402027	4434689
chr1	ENSG00000227169.2	4541735	4562145
chr1	ENSG00000232596.2	4561481	4604009
chr1	ENSG00000196581.10	4644732	4802534
chr1	ENSG00000231510.1	5076459	5100899
chr1	ENSG00000260972.1	5482978	5504674
chr1	ENSG00000283356.1	5544747	5564881
chr1	ENSG00000236948.2	5551709	5678295
chr1	ENSG00000264341.1	5554071	5574143
chr1	ENSG00000264101.1	5852672	5872741
chr1	ENSG00000131697.17	5852811	6002362
chr1	ENSG00000069424.14	5981466	6111193
chr1	ENSG00000116254.17	6091793	6190123
chr1	ENSG00000116251.9	6171269	6219389
chr1	ENSG00000226944.1	6194840	6215780
chr1	ENSG00000158286.12	6196176	6231192
chr1	ENSG00000116237.15	6211300	6245972
chr1	ENSG00000225077.2	6226240	6249444
chr1	ENSG00000173673.7	6234192	6255578
chr1	ENSG00000158292.6	6237346	6270975
chr1	ENSG00000097021.19	6254269	6403554
chr1	ENSG00000069812.11	6402418	6434670
chr1	ENSG00000187017.15	6414788	6470980
chr1	ENSG00000265392.1	6419834	6439896
chr1	ENSG00000231868.1	6433034	6457006
chr1	ENSG00000215788.9	6451151	6476091
chr1	ENSG00000171680.21	6456196	6530061
chr1	ENSG00000162408.10	6511347	6564535
chr1	ENSG00000253022.1	6530854	6550964
chr1	ENSG00000229519.2	6537905	6558619
chr1	ENSG00000173662.20	6545181	6589757
chr1	ENSG00000204859.12	6570001	6599280
chr1	ENSG00000162413.16	6580724	6624607
chr1	ENSG00000116273.5	6603685	6634033
chr1	ENSG00000041988.15	6614866	6644167
chr1	ENSG00000007923.15	6625587	6711924
chr1	ENSG00000228750.6	6714637	6740012
chr1	ENSG00000237436.1	6773892	6794843
chr1	ENSG00000171735.18	6775324	7779706
chr1	ENSG00000227950.1	6824333	6844618
chr1	ENSG00000237365.1	6998376	7024279
chr1	ENSG00000207056.1	7209360	7229524
chr1	ENSG00000237402.1	7358942	7380270
chr1	ENSG00000237728.2	7372487	7399754
chr1	ENSG00000225126.1	7431096	7451554
chr1	ENSG00000270171.1	7683124	7704844
chr1	ENSG00000270035.1	7688303	7708872
chr1	ENSG00000269978.1	7690704	7710970
chr1	ENSG00000049245.12	7761269	7791432
chr1	ENSG00000269925.1	7766383	7786775
chr1	ENSG00000049246.14	7774320	7855177
chr1	ENSG00000236266.1	7800242	7837117
chr1	ENSG00000049247.13	7836692	7863512
chr1	ENSG00000049249.8	7905894	7953165
chr1	ENSG00000270330.1	7932372	7952726
chr1	ENSG00000116288.12	7944291	7995505
chr1	ENSG00000200344.1	7972881	7992983
chr1	ENSG00000116285.12	7994404	8036308
chr1	ENSG00000238290.1	8016738	8132702
chr1	ENSG00000232848.1	8047245	8068463
chr1	ENSG00000229305.1	8179824	8202770
chr1	ENSG00000227634.2	8192429	8225210
chr1	ENSG00000200975.1	8196434	8216597
